Trial 15 finished with values: [8.803503155708313, 0.793389156460762] and parameters: {'resnet2d_inplanes_0': 46, 'resnet3d_inplanes_0': 24, 'resnet2d_inplanes_1': 44, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 29, 'optimizer': 'Adam', 'lr': 0.00010637489652267575, 'weight_decay': 0.0040238155705681995, 'batch_size': 4}. 
Trial 16 finished with values: [10.413370370864868, 0.829599991440773] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 60, 'resnet3d_inplanes_1': 26, 'resnet2d_inplanes_2': 54, 'resnet3d_inplanes_2': 23, 'optimizer': 'SGD', 'lr': 0.018915755222862273, 'weight_decay': 0.002128417170269629, 'batch_size': 4}. 
Trial 17 finished with values: [8.632184624671936, 0.7829378843307495] and parameters: {'resnet2d_inplanes_0': 39, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 49, 'resnet3d_inplanes_1': 26, 'resnet2d_inplanes_2': 58, 'resnet3d_inplanes_2': 20, 'optimizer': 'RMSprop', 'lr': 4.181710526582624e-05, 'weight_decay': 0.0041904770765763015, 'batch_size': 5}. 
Trial 18 finished with values: [7.745210375104632, 0.7794549635478428] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 28, 'resnet2d_inplanes_1': 55, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 61, 'resnet3d_inplanes_2': 30, 'optimizer': 'Adam', 'lr': 0.0008882136680866258, 'weight_decay': 0.00041412711575945576, 'batch_size': 2}. 
Trial 19 finished with values: [9.299769639968872, 0.8005721867084503] and parameters: {'resnet2d_inplanes_0': 32, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 36, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 51, 'resnet3d_inplanes_2': 17, 'optimizer': 'Adam', 'lr': 0.00018943615050451143, 'weight_decay': 0.00032657025911728263, 'batch_size': 5}. 
Trial 20 finished with values: [10.146339416503906, 0.8312710970640182] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 28, 'resnet2d_inplanes_1': 44, 'resnet3d_inplanes_1': 26, 'resnet2d_inplanes_2': 47, 'resnet3d_inplanes_2': 24, 'optimizer': 'SGD', 'lr': 0.00012015949473786927, 'weight_decay': 2.109734419668891e-06, 'batch_size': 4}. 
Trial 21 finished with values: [24.38729558672224, 0.994165701525552] and parameters: {'resnet2d_inplanes_0': 33, 'resnet3d_inplanes_0': 27, 'resnet2d_inplanes_1': 51, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 20, 'optimizer': 'Adam', 'lr': 0.04026038951696784, 'weight_decay': 4.474308813764254e-05, 'batch_size': 2}. 
Trial 22 finished with values: [25.825275897979736, 1.0] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 27, 'resnet2d_inplanes_1': 58, 'resnet3d_inplanes_1': 26, 'resnet2d_inplanes_2': 45, 'resnet3d_inplanes_2': 21, 'optimizer': 'SGD', 'lr': 0.011229369229688018, 'weight_decay': 0.0017548791011994342, 'batch_size': 5}. 
Trial 23 finished with values: [11.202516317367554, 0.8297180980443954] and parameters: {'resnet2d_inplanes_0': 32, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 57, 'resnet3d_inplanes_1': 31, 'resnet2d_inplanes_2': 50, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 0.07364132921563722, 'weight_decay': 3.5801054955154386e-06, 'batch_size': 4}. 
Trial 24 finished with values: [10.615580081939697, 0.8191762225968497] and parameters: {'resnet2d_inplanes_0': 61, 'resnet3d_inplanes_0': 32, 'resnet2d_inplanes_1': 32, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 61, 'resnet3d_inplanes_2': 29, 'optimizer': 'Adam', 'lr': 0.015758060990048294, 'weight_decay': 2.674083235550174e-06, 'batch_size': 2}. 
Trial 25 finished with values: [10.956055736541748, 0.8308880448341369] and parameters: {'resnet2d_inplanes_0': 41, 'resnet3d_inplanes_0': 24, 'resnet2d_inplanes_1': 60, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 37, 'resnet3d_inplanes_2': 25, 'optimizer': 'RMSprop', 'lr': 5.036277779110354e-05, 'weight_decay': 7.609397670644767e-05, 'batch_size': 3}. 
Trial 26 finished with values: [12.555792999267577, 0.8239766240119935] and parameters: {'resnet2d_inplanes_0': 46, 'resnet3d_inplanes_0': 22, 'resnet2d_inplanes_1': 59, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 56, 'resnet3d_inplanes_2': 27, 'optimizer': 'RMSprop', 'lr': 0.0003528341429771979, 'weight_decay': 5.342844206469288e-06, 'batch_size': 3}. 
